"","Building Address","Year Built"
"589","3175 18TH ST",1947
"590","2480 MISSION ST",1973
"591","612 ALABAMA ST",1914
"592","1240 MARKET ST",1908
"593","657 COMMERCIAL ST",1907
"594","303 2ND ST",1988
"595","2790 MISSION ST",1917
"596","1201 EVANS AVE",1986
"597","216 PINE ST",1907
"598","37 Grove St",1924
"599","640 SACRAMENTO ST",1907
"600","1540 MARKET ST",1920
"601","840 BATTERY ST",1931
"602","3950 19TH AVE",1953
"603","1701 VAN NESS AVE",1917
"604","400 NORTH POINT ST",1958
"605","498 Castro St",1900
"606","1900 UNION ST",1970
"607","132 HAWTHORNE ST",1948
"608","128 KING ST",1913
"609","80 CAROLINA ST",1984
"610","1189 POTRERO AVE",1997
"611","745 Clement St",2002
"612","1661 MISSION ST",1935
"613","1900 NORIEGA ST",1975
"614","101 TOWNSEND ST",1913
"615","400 MONTGOMERY ST",1901
"616","77 BATTERY ST",1907
"617","200 CALIFORNIA ST",1988
"618","960 HOWARD ST",1920
"619","200 W Portal Ave",1931
"620","870 MARKET ST",1907
"621","555 FLORIDA ST",1923
"622","710 SANSOME ST",1907
"623","3 EMBARCADERO CENTER",1976
"624","55 NATOMA ST",1908
"625","1717 HARRISON ST",0
"626","1400 VAN NESS AVE",1913
"627","88 1ST ST",1907
"628","552 BRANNAN ST",1923
"629","2500 16th St.",1925
"630","135 MAIN ST",0
"631","222 SUTTER ST",1908
"632","1475 MISSION ST",1975
"633","101 MARKET ST",1982
"634","50 FREMONT ST",1985
"635","325 BATTERY ST",1989
"636","450 SUTTER ST",1929
"637","587 Eddy Street",1925
"638","77 FEDERAL ST",2020
"639","495 GEARY ST",1913
"640","321 11TH ST",1907
"641","77 STILLMAN ST",1944
"642","875 HOWARD ST",1920
"643","690 5TH ST",1983
"644","220 SAN BRUNO AVE",1961
"645","1050 BATTERY ST",1907
"646","1212 MARKET ST",1907
"647","336-344 Mason Street",1968
"648","717 BATTERY ST",1907
"649","1320 GOLDEN GATE AVE",1941
"650","730 HARRISON ST",1988
"651","2450 17TH ST",1913
"652","231 GRANT AVE",1907
"653","391 SUTTER ST",1908
"654","405 TAYLOR ST",1924
"655","375 NEWHALL ST",1988
"656","415 GEARY ST",1909
"657","121 STEUART ST",1984
"658","1000 BRANNAN ST",1924
"659","620 FOLSOM ST",1922
"660","4800 MISSION ST",1952
"661","1475 LOMBARD ST",1971
"662","1730 VAN NESS AVE",1919
"663","2235 HAYES ST",1966
"664","2150 CESAR CHAVEZ ST",1942
"665","325 MASON",1955
"666","3101 19TH ST",1913
"667","302 ELLIS ST",1930
"668","475 6TH ST",1927
"669","1035 MARKET ST",1912
"670","1750 HARRISON ST.",1996
"671","2552 TAYLOR ST",1986
"672","2000 FOLSOM ST",0
"673","2015 STEINER ST",1907
"674","999 BRANNAN ST",1986
"675","2350 NORIEGA ST",1986
"676","231 SANSOME ST",1925
"677","921 FRONT ST",1900
"678","217 SANSOME ST",1908
"679","444 BATTERY ST",1967
"680","660 MARKET ST",1924
"681","1601 22ND AVE",1939
"682","250 BEACH ST",1963
"683","836 BRANNAN ST",2001
"684","1072 MARKET ST",1911
"685","1049 MARKET ST",1907
"686","350-360 9TH ST",1920
"687","1067 MARKET ST",1924
"688","948 MARKET ST",1907
"689","2599 LOMBARD ST",1957
"690","541 8TH ST",1937
"691","1701 MONTGOMERY ST",1906
"692","651 BRANNAN ST",1911
"693","49 GEARY STREET",1912
"694","607 FRONT ST",1906
"695","2574 SAN BRUNO AVE",2010
"696","121 7TH ST",1961
"697","1111 8TH ST",0
"698","290 7TH ST",1926
"699","1901 LOMBARD ST",1984
"700","525 MARKET ST",1973
"701","1390 SILVER AVE",1964
"702","555 BEACH ST",1951
"703","50 GREEN ST",1907
"704","1750 ALAMEDA ST",1948
"705","1145 MARKET ST",1990
"706","1100 CESAR CHAVEZ ST",1949
"707","398 11TH ST",1916
"708","2460 MISSION ST",1968
"709","6333 GEARY BLVD",1957
"710","1700 Egbert Ave",1997
"711","2238 GEARY BLVD",1999
"712","390 4TH ST",1924
"713","2130 FULTON ST",1921
"714","2 BRYANT ST",1937
"715","1580 VALENCIA ST",2018
"716","445 BUSH ST",1905
"717","One Post Street",1969
"718","2750 19TH ST",1907
"719","1745 CALIFORNIA ST",1900
"720","2445 Golden Gate Ave",1921
"721","609 SUTTER ST",1927
"722","3201 CALIFORNIA ST",2000
"723","1363 DIVISADERO ST",1926
"724","865 MARKET ST",1908
"725","2340 CLAY ST",1920
"726","1501 LOMBARD ST",1954
"727","420 TAYLOR ST",1942
"728","940 BATTERY ST",1917
"729","315 MONTGOMERY ST",1921
"730","680 2ND ST",1913
"731","3535 BALBOA ST",1947
"732","300 MONTGOMERY ST",1918
"733","854 FOLSOM ST",1926
"734","199 Fremont St",0
"735","323 GEARY ST",1908
"736","1000 VAN NESS AVE",1920
"737","2499 OCEAN AVE",1977
"738","101 CARGO WAY",1981
"739","3450 3RD ST #2 A",1987
"740","1040 COLUMBUS AVE",1950
"741","1250 TENNESSEE ST",1965
