Building Address	Year Built	analysis_neighborhood	supervisor_district
450 PACIFIC AVE	1906	North Beach	3
1601 19TH AVE	2002	Sunset/Parkside	4
875 LA PLAYA	1983	Outer Richmond	1
1 BURNETT AVE	1983	Twin Peaks	8
88 KING ST	2000	Mission Bay	6
2598 TAYLOR ST	1986	North Beach	3
77 NEW MONTGOMERY ST	1907	Financial District/South Beach	6
1150 LOMBARD ST	1989	Russian Hill	3
737 FOLSOM ST	1988	South of Market	6
800 INDIANA ST	2015	Potrero Hill	10
2186 GEARY BLVD	1984	Japantown	5
133 KEARNY ST	1910	Financial District/South Beach	3
150 OAK ST	1948	Hayes Valley	5
666 POST ST	NA	Nob Hill	3
10 29TH ST	2004	Bernal Heights	9
141 COLUMBUS AVE	1905	Chinatown	3
3075 17TH ST	1923	Mission	9
64 GOUGH ST	1911	Hayes Valley	6
1890 BROADWAY	1938	Pacific Heights	2
330 ELLIS ST	1930	Tenderloin	5
832 FOLSOM ST	1986	South of Market	6
45 POWELL ST	1909	Tenderloin	3
295 BAY ST	1968	North Beach	3
1223 Webster St	1996	Western Addition	5
530 5TH ST	1925	South of Market	6
10 MILLER PL	1963	Chinatown	3
8 OCTAVIA ST	2014	Hayes Valley	6
1050 17TH ST	2002	Mission Bay	10
601 MINNESOTA ST	1937	Potrero Hill	10
777 FLORIDA ST	1902	Mission	9
2000 MCKINNON AVE	1940	Bayview Hunters Point	10
240 7TH ST	1955	South of Market	6
550 MONTGOMERY ST	1931	Chinatown	3
701 3rd St	NA	Mission Bay	6
291 EDDY ST	1925	Tenderloin	5
2032 POLK ST	1907	Russian Hill	3
1407 9TH AVE	1914	Inner Sunset	7
945 FRONT ST	1955	Financial District/South Beach	3
300 DE HARO ST	1984	Mission Bay	10
711 VAN NESS AVE	1984	Western Addition	2
2200 MISSION ST	2009	Mission	9
1881 POST ST	1967	Japantown	5
601 ARBALLO DR	1942	Lakeshore	7
525 BRANNAN ST	1917	South of Market	6
16 JESSIE ST	1906	Financial District/South Beach	6
1050 NORTH POINT ST	1961	Russian Hill	2
2901 PACIFIC AVE	1907	Pacific Heights	2
1801 VAN NESS AVE	1920	Pacific Heights	2
555 MISSION ST	2008	Financial District/South Beach	6
17 GRANT AVE	1909	Financial District/South Beach	3
990 COLUMBUS AVE	1915	North Beach	3
900 7TH ST	1974	Mission Bay	6
146 GEARY ST	1907	Financial District/South Beach	3
4444 GEARY BLVD	1915	Inner Richmond	1
439 STEVENSON ST	1924	South of Market	6
THE EMBARCADERO #0003	1900	Financial District/South Beach	3
1800 PACIFIC AVE	1960	Pacific Heights	2
250 Howard St	NA	Financial District/South Beach	6
275 5TH ST	1965	South of Market	6
718 LONG BRIDGE ST	NA	Mission Bay	6
101 EDDY ST	1917	Tenderloin	5
45 PIER - SHED A	1900	North Beach	3
390 BAY SHORE BLVD	1937	Bernal Heights	9
182 2ND ST	1909	Financial District/South Beach	6
300 CLAY ST	1967	Financial District/South Beach	3
334 BRANNAN ST	1929	Financial District/South Beach	6
350 MISSION ST	1923	Financial District/South Beach	6
359 HYDE ST	1916	Tenderloin	5
55 GREEN ST	1984	Financial District/South Beach	3
156 2ND ST	1908	Financial District/South Beach	6
875 STEVENSON ST	1975	South of Market	6
1 POLK ST	2008	Tenderloin	6
728 PACIFIC AVE	1985	Chinatown	3
35 SOUTH PARK	1920	Financial District/South Beach	6
1663 MARKET ST	1921	Mission	6
25 MASON	1911	Tenderloin	5
151 Alice B Toklas Pl	1920	Tenderloin	5
1650 PACIFIC AVENUE	1922	Russian Hill	3
101 HENRY ADAMS ST	1906	Mission Bay	6
2 LAKE STREET	1926	Inner Richmond	1
1000 MASON ST	1926	Nob Hill	3
1333 GOUGH ST	1966	Japantown	2
125 3RD ST	2005	Financial District/South Beach	6
1700 POST ST	1971	Japantown	5
500 POST ST	1987	Nob Hill	3
1101 FAIRFAX AVE	NA	Bayview Hunters Point	10
535 PACIFIC AVE	1907	Chinatown	3
681 ELLIS ST	1927	Tenderloin	5
1415 BANCROFT AVE	1957	Bayview Hunters Point	10
535 SUTTER ST	1921	Nob Hill	3
500 BEACH ST	1974	North Beach	3
799 VAN NESS AVE	1917	Western Addition	2
1530 LOMBARD ST	1977	Marina	2
145 9TH ST	1924	South of Market	6
135 4TH ST	0	Financial District/South Beach	6
1300 FILLMORE ST	2007	Western Addition	5
1818 HARRISON ST	1924	Mission	9
898 PENNSYLVANIA AVE	1979	Potrero Hill	10
300 ALEMANY BLVD	1958	Bernal Heights	9
350 PARNASSUS AVE	1968	Inner Sunset	8
1950 GOUGH ST	1926	Pacific Heights	2
