Building Address	Year Built	analysis_neighborhood	supervisor_district
2201 VAN NESS AVE	1957	Pacific Heights	2
1 TAYLOR ST	1922	Tenderloin	5
145 JEFFERSON ST.	2000	North Beach	3
634 CLAY ST	1912	Chinatown	3
301 PINE ST	1909	Financial District/South Beach	3
1760 DIAMOND ST	1971	Noe Valley	8
1278 MARKET ST	1907	Tenderloin	6
169 STEUART ST	1926	Financial District/South Beach	6
661 HOWARD ST	1972	Financial District/South Beach	6
5420 GEARY BLVD	1923	Outer Richmond	1
1244 SUTTER ST	1911	Nob Hill	3
3120 Mission Street	1956	Bernal Heights	9
1155 4TH ST	2014	Mission Bay	6
450 9TH ST	1926	South of Market	6
701 8TH ST	2008	Mission Bay	6
901 MISSION ST	1924	South of Market	6
1215 FELL ST	1909	Hayes Valley	5
388 BEALE ST	1937	Financial District/South Beach	6
1320 BRYANT ST	2003	Mission	9
33 PIER	1900	North Beach	3
3400 Cesar Chavez	2009	Mission	9
2225 23RD ST	1989	Potrero Hill	10
455 VALLEJO ST	1973	North Beach	3
639 FRONT ST	1906	Financial District/South Beach	3
267 8TH ST	1911	South of Market	6
1078 SUTTER ST	2014	Nob Hill	3
101 UTAH ST	1957	Mission	6
795 FOLSOM ST	1979	South of Market	6
888 TENNESSEE ST	1953	Potrero Hill	10
2425 GEARY BLVD	1952	Lone Mountain/USF	2
601 VAN NESS AVE	1983	Western Addition	2
2450 SUTTER ST	1911	Pacific Heights	2
66 CLEARY CT	1963	Western Addition	2
145 GUERRERO ST	1980	Mission	9
1500 16TH ST	1952	Mission Bay	6
1530 BUSH ST	1916	Western Addition	2
501 CESAR CHAVEZ	0	Bayview Hunters Point	10
1563 MISSION ST	1917	Mission	6
1900 OAKDALE AVE	1962	Bayview Hunters Point	10
111 ELLIS ST	1907	Tenderloin	3
275 POST ST	1909	Financial District/South Beach	3
3130 20TH ST	1949	Mission	9
2101 Sutter St	1987	Japantown	5
348 6TH ST	1924	South of Market	6
290 Malosi Street	NA	Visitacion Valley	10
1616 16TH ST	1912	Mission Bay	6
975 Bryant St	1928	South of Market	6
735 MONTGOMERY ST	1924	Chinatown	3
75 ARKANSAS ST	2017	Mission Bay	10
510 SOUTH VAN NESS AVE	1907	Mission	9
333 KEARNY ST	1907	Financial District/South Beach	3
300 ARBALLO DR	1950	Lakeshore	7
150 STOCKTON ST.	0	Financial District/South Beach	3
655 Montgomery Street	1984	Chinatown	3
33 COLUMBUS AVE	1913	Chinatown	3
1045 17TH ST	1900	Potrero Hill	10
333 FREMONT ST	2014	Financial District/South Beach	6
100 JERROLD AVE	1989	Bayview Hunters Point	10
2299 POST ST	1963	Japantown	5
579 MARKET ST	1907	Financial District/South Beach	6
400-430 California Street	NA	Financial District/South Beach	3
781 BEACH ST	1912	Russian Hill	2
246 2ND ST	NA	Financial District/South Beach	6
1000 SANSOME ST	1904	Financial District/South Beach	3
701 BAY SHORE BLVD	1952	Bayview Hunters Point	10
545 SANSOME ST	1930	Chinatown	3
85 BLUXOME ST	1900	South of Market	6
2700 ARELIOUS WALKER DR	NA	Bayview Hunters Point	10
984 FOLSOM ST	1928	South of Market	6
1736 STOCKTON ST	1907	North Beach	3
2295 VALLEJO ST	1975	Pacific Heights	2
461 2ND ST	1907	Financial District/South Beach	6
555 FULTON ST	2020	Hayes Valley	5
10 ROSIE LEE LN	1978	Bayview Hunters Point	10
414 MASON ST	1911	Tenderloin	3
615 GRANT AVE	1907	Chinatown	3
450 SANSOME ST	1967	Chinatown	3
5260 DIAMOND HEIGHTS BLVD	1964	Glen Park	8
3000 23RD ST	2006	Mission	9
749 Toland St	NA	Bayview Hunters Point	10
1244 MARKET ST	1906	Tenderloin	6
500 SUTTER ST	1914	Nob Hill	3
2558 MISSION ST	2014	Mission	9
2350 Turk Blvd	1930	Lone Mountain/USF	1
1 POWELL ST	1921	Tenderloin	3
155 BRANNAN ST	1989	Financial District/South Beach	6
2505 MARIPOSA ST	1923	Mission	9
2335 Golden Gate Ave	1921	Lone Mountain/USF	1
1111 JUNIPERO SERRA BLVD	1953	Oceanview/Merced/Ingleside	11
98 W PORTAL AVE	NA	West of Twin Peaks	7
555 JACKSON ST	2005	Chinatown	3
301 Toland St	1942	Bayview Hunters Point	10
2739 TAYLOR ST	1953	North Beach	3
559 SUTTER ST	1921	Nob Hill	3
451 MONTGOMERY ST	1907	Financial District/South Beach	3
555 9TH ST	1991	South of Market	6
