"","Building Address","Year Built","analysis_neighborhood","supervisor_district"
"1531","222 SANSOME ST",1987,"Financial District/South Beach",3
"1532","939 ELLIS ST",1961,"Western Addition",2
"1533","85 5TH ST",1923,"South of Market",6
"1534","135 GOLDEN GATE AVE",1906,"Tenderloin",5
"1535","455 MISSION BAY BLVD SOUTH",2009,"Mission Bay",6
"1536","460 BRYANT ST",1907,"Financial District/South Beach",6
"1537","560 9TH ST",1925,"South of Market",6
"1538","500 LEAVENWORTH ST",1921,"Tenderloin",5
"1539","582 MARKET ST",1922,"Financial District/South Beach",3
"1540","190 10th Street",1924,"South of Market",6
"1541","1040 GRANT AVE",1959,"Chinatown",3
"1542","165 OFARRELL ST",1908,"Financial District/South Beach",3
"1543","102 BUCARELI DR",1942,"Lakeshore",7
"1544","269 POTRERO AVE",1924,"Mission",6
"1545","2744 HYDE ST",1956,"Russian Hill",3
"1546","1500 CUSTER AVE",1960,"Bayview Hunters Point",10
"1547","123 LOOMIS ST",1953,"Bayview Hunters Point",10
"1548","33 8TH ST",NA,"South of Market",6
"1549","475 SANSOME ST",1900,"Chinatown",3
"1550","525 4TH ST",1924,"South of Market",6
"1551","365 FULTON ST",NA,"Hayes Valley",5
"1552","82 1ST ST",1908,"Financial District/South Beach",6
"1553","121 CAPP ST",1946,"Mission",9
"1554","25 DIVISION ST",1950,"Mission Bay",6
"1555","1 LOMBARD ST",1904,"Financial District/South Beach",3
"1556","2301 MISSION ST",1911,"Mission",9
"1557","1001 SADDLEBACK DR",1989,"Excelsior",11
"1558","951 MISSION ST",1916,"South of Market",6
"1559","440 POST ST",1910,"Nob Hill",3
"1560","380 ALABAMA ST",2005,"Mission",9
"1561","550 North Point St",2001,"North Beach",3
"1562","115 WISCONSIN ST",1916,"Mission Bay",10
"1563","2225 3RD ST",2013,"Potrero Hill",10
"1564","72 Townsend St",NA,"Financial District/South Beach",6
"1565","3360 GEARY BLVD",1969,"Presidio Heights",2
"1566","2 Folsom St",2000,"Financial District/South Beach",6
"1567","325 BERRY ST",2007,"Mission Bay",6
"1568","1001 FRANKLIN ST",1965,"Western Addition",2
"1569","20 OFARRELL ST",1909,"Financial District/South Beach",3
"1570","2801 LEAVENWORTH ST",1907,"Russian Hill",3
"1571","690 MARKET ST",2007,"Financial District/South Beach",3
"1572","2600 SLOAT BLVD",1990,"Sunset/Parkside",4
"1573","259 7TH ST",1900,"South of Market",6
"1574","680 8TH ST",1960,"South of Market",6
"1575","790 MARKET ST",1907,"Financial District/South Beach",3
"1576","821 FOLSOM ST",2004,"South of Market",6
"1577","2398 JERROLD AVE",1983,"Bayview Hunters Point",10
"1578","1247 HARRISON ST",2004,"South of Market",6
"1579","480 POTRERO AVE",1924,"Mission",9
"1580","501 3RD ST",1920,"Financial District/South Beach",6
"1581","10 Lombard Street",1914,"Financial District/South Beach",3
"1582","501 FOLSOM ST",1916,"Financial District/South Beach",6
"1583","1355 SANSOME ST",1982,"North Beach",3
"1584","71 2ND ST",1898,"Financial District/South Beach",6
"1585","900 MARIN ST",1953,"Bayview Hunters Point",10
"1586","871 TURK ST",2008,"Western Addition",2
"1587","333 TAYLOR ST",1999,"Tenderloin",5
"1588","36 2ND ST",1907,"Financial District/South Beach",6
"1589","1388 SUTTER ST",1986,"Western Addition",2
"1590","200 PORTOLA DR",1996,"Twin Peaks",8
"1591","515 FOLSOM ST",1918,"Financial District/South Beach",6
"1592","240 2ND ST",1957,"Financial District/South Beach",6
"1593","6600 3RD ST",NA,"Bayview Hunters Point",10
"1594","2650 18TH ST",1931,"Mission",9
"1595","4096 17TH ST",1965,"Castro/Upper Market",8
"1596","1 LAWRENCE AVE",1993,"Outer Mission",11
"1597","2919 MISSION ST",1907,"Mission",9
"1598","555 Minnesota St",1947,"Potrero Hill",10
"1599","1250 VAN DYKE AVE",0,"Bayview Hunters Point",10
"1600","235 2ND ST",2001,"Financial District/South Beach",6
"1601","350 UNION ST",1965,"North Beach",3
"1602","2401 17TH ST",1909,"Mission",9
"1603","1050 VAN NESS AVE",1909,"Tenderloin",5
"1604","1200 CALIFORNIA ST",NA,"Nob Hill",3
"1605","2215 REVERE AVE",1953,"Bayview Hunters Point",10
"1606","369 18TH AVE",1923,"Outer Richmond",1
"1607","2664 MISSION ST",1900,"Mission",9
"1608","301 BUCHANAN ST",1999,"Hayes Valley",5
"1609","1819 EGBERT AVE",1983,"Bayview Hunters Point",10
"1610","945 VAN NESS AVE",1937,"Western Addition",2
"1611","333 BATTERY ST",1989,"Chinatown",3
"1612","3100 WEBSTER ST",1956,"Marina",2
"1613","290 SUTTER ST",1908,"Financial District/South Beach",3
"1614","222 Second Street",2016,"Financial District/South Beach",6
"1615","1415 VAN NESS AVE",1900,"Western Addition",2
"1616","555 MONTGOMERY ST",1985,"Chinatown",3
"1617","50 8TH ST",1969,"South of Market",6
"1618","2155 POWELL ST",1907,"North Beach",3
"1619","501 FONT BLVD",1942,"Lakeshore",7
"1620","200 SANSOME ST",1927,"Financial District/South Beach",3
"1621","1455 MARKET STREET",1979,"South of Market",6
"1622","175 GOLDEN GATE AVE",1899,"Tenderloin",5
"1623","201 EDDY ST",1914,"Tenderloin",5
"1624","424 TOWNSEND ST",1936,"Mission Bay",6
"1625","28 GEARY ST",1908,"Financial District/South Beach",3
"1626","1970 INNES AVE",1965,"Bayview Hunters Point",10
"1627","2190 WASHINGTON ST",1961,"Pacific Heights",2
"1628","620 POST ST",1910,"Nob Hill",3
"1629","1359 PINE ST",1969,"Nob Hill",3
"1630","350 CALIFORNIA",1976,"Financial District/South Beach",3
"1631","855 LA PLAYA",1982,"Outer Richmond",1
"1632","471 PINE ST",1911,"Financial District/South Beach",3
"1633","950 STOCKTON ST",1970,"Chinatown",3
"1634","135 MISSISSIPPI ST",1984,"Potrero Hill",10
"1635","170 OTIS ST",NA,"Mission",6
"1636","1343 STOCKTON ST",1912,"Chinatown",3
"1637","449 POWELL ST",1913,"Nob Hill",3
"1638","1000 CHESTNUT ST",1955,"Russian Hill",2
"1639","3 DIAZ AVE",1942,"Lakeshore",7
"1640","235 BERRY ST",2007,"Mission Bay",6
"1641","429 Beale St",1951,"Financial District/South Beach",6
"1642","655 BROTHERHOOD WAY",1980,"Lakeshore",7
"1643","110 THE EMBARCADERO",1984,"Financial District/South Beach",6
"1644","21 SOUTH PARK",1919,"Financial District/South Beach",6
"1645","829 FOLSOM ST",NA,"South of Market",6
"1646","138 6TH ST",1907,"South of Market",6
"1647","201 THIRD ST",1983,"Financial District/South Beach",6
"1648","120 CAPP ST",1981,"Mission",9
"1649","733 FRONT ST",2007,"Financial District/South Beach",3
"1650","810 MISSION ST",1925,"South of Market",6
"1651","2343 FILLMORE STREET",1924,"Pacific Heights",2
"1652","240 DOLORES ST",1968,"Castro/Upper Market",8
"1653","465 CALIFORNIA ST",1903,"Financial District/South Beach",3
"1654","1300 ILLINOIS ST",1957,"Potrero Hill",10
"1655","600 STOCKTON ST",1908,"Financial District/South Beach",3
"1656","3450 3RD ST #1 D",1987,"Bayview Hunters Point",10
"1657","1554 VAN NESS AVE",1917,"Nob Hill",3
"1658","201 MISSION ST",1981,"Financial District/South Beach",6
"1659","1780 Bancroft Ave",2010,"Bayview Hunters Point",10
"1660","574 3RD ST",1907,"South of Market",6
"1661","2660 3RD ST",2017,"Potrero Hill",10
"1662","12 SOUTH VAN NESS AVE",1927,"Mission",6
"1663","380 CLEMENTINA ST",1972,"South of Market",6
"1664","601 MISSION ST",1907,"Financial District/South Beach",6
"1665","555 MARKET ST",1964,"Financial District/South Beach",6
"1666","415 NATOMA ST",2022,"South of Market",6
"1667","855 BATTERY ST",1907,"Financial District/South Beach",3
"1668","300 NEWHALL STREET",1979,"Bayview Hunters Point",10
"1669","787 BRANNAN ST",1900,"South of Market",6
"1670","1201 FOLSOM ST",1928,"South of Market",6
"1671","800 2ND ST",1900,"Mission Bay",6
"1672","1170 MARKET ST",1983,"Tenderloin",5
"1673","2690 MISSION ST",1953,"Mission",9
"1674","973 MARKET ST",1908,"South of Market",6
"1675","334 MASON ST",1912,"Tenderloin",3
"1676","170 COLUMBUS AVE",1985,"Chinatown",3
"1677","2500 MARIN ST",1959,"Bayview Hunters Point",10
"1678","1453 MISSION ST",1913,"South of Market",6
"1679","555 4TH ST",2006,"South of Market",6
"1680","900 BUSH ST",1982,"Nob Hill",3
"1681","1 ARDATH CT",1983,"Bayview Hunters Point",10
"1682","301 ANZA ST",2002,"Lone Mountain/USF",1
"1683","260 BAY ST",1968,"North Beach",3
"1684","1278 MINNESOTA ST",2012,"Potrero Hill",10
"1685","800 MARKET ST",1908,"Financial District/South Beach",3
"1686","761 POST ST",1930,"Tenderloin",3
"1687","1850 CESAR CHAVEZ ST",1989,"Bayview Hunters Point",10
"1688","505 BEACH ST",1950,"North Beach",3
"1689","570 TOWNSEND ST",1960,"South of Market",6
"1690","175 DE HARO ST",1946,"Mission Bay",6
"1691","855 SACRAMENTO ST",1925,"Chinatown",3
"1692","610 GEARY ST",1907,"Tenderloin",3
"1693","1251 Turk St",NA,"Western Addition",5
"1694","910 HARRISON ST",1927,"South of Market",6
"1695","491 BAYSHORE BLVD",2010,"Bayview Hunters Point",10
"1696","1 SANSOME ST",1983,"Financial District/South Beach",3
"1697","929 MARKET ST",1907,"South of Market",6
"1698","1150 UNION ST",1930,"Russian Hill",3
"1699","3101 MISSION ST",2000,"Bernal Heights",9
"1700","251 RHODE ISLAND ST",1925,"Mission Bay",6
"1701","6222 GEARY BLVD",1965,"Outer Richmond",1
"1702","1025 COLUMBUS AVE",1931,"Russian Hill",3
"1703","901 BAY SHORE BLVD",2003,"Bayview Hunters Point",10
"1704","1091 MISSION ST",1912,"South of Market",6
"1705","245 11TH ST",1917,"South of Market",6
"1706","220 NEWHALL ST",1979,"Bayview Hunters Point",10
"1707","153 KEARNY ST",1909,"Financial District/South Beach",3
"1708","1900 PACIFIC AVE",1970,"Pacific Heights",2
"1709","60 RAUSCH ST",2002,"South of Market",6
"1710","1 EMBARCADERO CENTER",1970,"Financial District/South Beach",3
"1711","2 BUCARELI DR",1942,"Lakeshore",7
"1712","900 BATTERY ST",1917,"Financial District/South Beach",3
"1713","1355 VAN NESS AVE",1916,"Western Addition",2
"1714","1790 YOSEMITE AVE",1946,"Bayview Hunters Point",10
"1715","401 HARRISON ST",NA,"Financial District/South Beach",6
"1716","670 4TH ST",2003,"South of Market",6
"1717","1140 BUCHANAN ST",1972,"Western Addition",5
"1718","1468 25TH ST",NA,"Potrero Hill",10
"1719","2288 BROADWAY",NA,"Pacific Heights",2
"1720","401 WASHINGTON ST",1983,"Chinatown",3
"1721","166 GOLDEN GATE AVE",1908,"Tenderloin",5
"1722","2133 STOCKTON ST",1964,"North Beach",3
"1723","1750 FULTON ST",2001,"Lone Mountain/USF",2
"1724","1975 POST ST",2001,"Japantown",5
"1725","888 HOWARD ST",0,"South of Market",6
"1726","1849 VAN NESS AVE",1920,"Pacific Heights",2
"1727","2190 BROADWAY",1973,"Pacific Heights",2
"1728","500 HOWARD ST",2003,"Financial District/South Beach",6
"1729","2950 GEARY BLVD",1946,"Presidio Heights",2
"1730","333 Pine Street",1917,"Financial District/South Beach",3
"1731","1272 MARKET ST",1907,"Tenderloin",6
"1732","670 VALENCIA ST",NA,"Mission",9
"1733","45 KEARNY ST",1907,"Financial District/South Beach",3
"1734","1100 UNION ST",1929,"Russian Hill",3
"1735","250 4TH ST",1947,"South of Market",6
"1736","240 BAY ST",1968,"North Beach",3
"1737","220 9TH ST",1924,"South of Market",6
"1738","250 MONTGOMERY ST",1986,"Financial District/South Beach",3
"1739","1499 SUTTER ST",1907,"Western Addition",2
"1740","80 ELMIRA ST",1954,"Bayview Hunters Point",10
"1741","560 PACIFIC AVE",1910,"North Beach",3
"1742","2530 18TH ST",1924,"Mission",9
"1743","210 JONES ST",1926,"Tenderloin",5
"1744","317 29TH ST",NA,"Noe Valley",8
"1745","657 HOWARD ST",1922,"Financial District/South Beach",6
"1746","599 SKYLINE BLVD",1920,"Lakeshore",7
"1747","991 VALENCIA ST",1900,"Mission",9
"1748","1173 HOWARD ST",1922,"South of Market",6
"1749","547 SUTTER ST",1922,"Nob Hill",3
"1750","447 BUSH ST",1914,"Financial District/South Beach",3
"1751","2345 Golden Gate Ave",NA,"Lone Mountain/USF",1
"1752","2790 19TH AVE",1979,"West of Twin Peaks",7
"1753","1650 OCTAVIA ST",1962,"Pacific Heights",2
"1754","1532 Harrison St",NA,"Mission",6
"1755","924 SANSOME ST",1911,"Financial District/South Beach",3
"1756","217 2ND ST",1912,"Financial District/South Beach",6
"1757","445 Fillmore St",1925,"Hayes Valley",5
"1758","2550 CESAR CHAVEZ ST",1956,"Bayview Hunters Point",10
"1759","2526 MISSION ST",1926,"Mission",9
"1760","631 FOLSOM ST",2009,"Financial District/South Beach",6
"1761","407 SANSOME ST",1909,"Chinatown",3
"1762","180-200 NAPOLEON ST",1948,"Bayview Hunters Point",10
"1763","90 NEW MONTGOMERY ST",1988,"Financial District/South Beach",6
"1764","1301 FOLSOM ST",1942,"South of Market",6
"1765","35 CAMBON DR",1942,"Lakeshore",7
"1766","5757 GEARY BLVD",1967,"Outer Richmond",1
"1767","1240 MINNESOTA ST",1921,"Potrero Hill",10
"1768","500 ARBALLO DR",1951,"Lakeshore",7
"1769","165 POST ST",1908,"Financial District/South Beach",3
"1770","1502 FILLMORE ST",1990,"Western Addition",5
"1771","945 BRYANT ST",1964,"South of Market",6
"1772","649 FRONT ST",1910,"Financial District/South Beach",3
"1773","3180 18TH ST",1900,"Mission",9
"1774","46 GEARY ST",1907,"Financial District/South Beach",3
"1775","825 NEWHALL ST",1951,"Bayview Hunters Point",10
"1776","500 MENDELL ST",1981,"Bayview Hunters Point",10
"1777","625 MARKET ST",1907,"Financial District/South Beach",6
"1778","121 2ND ST",1907,"Financial District/South Beach",6
"1779","5 PEREGO TER",1962,"Twin Peaks",8
"1780","109 LAKE MERCED BLVD",1975,"Lakeshore",7
"1781","2301 CHESTNUT ST",1931,"Marina",2
"1782","981 HOWARD ST",1927,"South of Market",6
"1783","834 DIVISADERO ST",1916,"Western Addition",5
"1784","1400 TENNESSEE ST",1983,"Potrero Hill",10
"1785","425 WASHINGTON ST",1907,"Chinatown",3
"1786","717 CALIFORNIA ST",1908,"Financial District/South Beach",3
"1787","2200 PACIFIC AVE",1962,"Pacific Heights",2
"1788","2495 Golden Gate Ave",NA,"Lone Mountain/USF",1
"1789","635 PORTOLA DR",1942,"West of Twin Peaks",7
"1790","3921 GEARY BLVD",1988,"Inner Richmond",1
"1791","1405 MINNESOTA ST",1962,"Bayview Hunters Point",10
"1792","77 MAIDEN LN",1920,"Financial District/South Beach",3
"1793","299 Fremont St",2016,"Financial District/South Beach",6
"1794","1338 MISSION ST",1923,"South of Market",6
"1795","616 DIVISADERO ST",1926,"Hayes Valley",5
"1796","555 NORTH POINT ST",1990,"North Beach",3
"1797","2800 LEAVENWORTH ST",1978,"North Beach",3
"1798","101 BUCARELI DR",1942,"Lakeshore",7
"1799","230 JONES ST",1924,"Tenderloin",5
"1800","44 MONTGOMERY ST",1966,"Financial District/South Beach",3
"1801","4109 18TH ST",1918,"Castro/Upper Market",8
"1802","1400 GEARY BLVD",1969,"Japantown",2
"1803","333 MARKET ST",1981,"Financial District/South Beach",6
"1804","260 OFARRELL ST",1965,"Tenderloin",3
"1805","1625 VAN NESS AVE",1919,"Pacific Heights",2
"1806","550 MINNA ST",2001,"South of Market",6
"1807","222 MASON ST",1988,"Tenderloin",5
"1808","410 TOWNSEND ST",1912,"Mission Bay",6
"1809","1100 SACRAMENTO ST",1925,"Nob Hill",3
"1810","325 OCTAVIA ST",NA,"Hayes Valley",5
"1811","111 NEW MONTGOMERY ST",1907,"Financial District/South Beach",6
"1812","50 3RD ST",1983,"Financial District/South Beach",6
"1813","230 CALIFORNIA ST",1913,"Financial District/South Beach",3
"1814","10 KING ST",NA,"Mission Bay",6
"1815","2175 MARKET ST",2015,"Castro/Upper Market",8
"1816","350 POST ST",1972,"Financial District/South Beach",3
"1817","500 CALIFORNIA ST",1927,"Financial District/South Beach",3
"1818","4355 GEARY BLVD",1989,"Inner Richmond",1
"1819","1201 Ridge Ct",1990,"Excelsior",11
"1820","150 SPEAR ST",1983,"Financial District/South Beach",6
"1821","2225 JERROLD AVE",1982,"Bayview Hunters Point",10
"1822","1301 EVANS AVE",1986,"Bayview Hunters Point",10
"1823","275 BRANNAN ST",1906,"Financial District/South Beach",6
"1824","666 ELLIS ST",1970,"Tenderloin",5
"1825","1504 BRYANT ST",1900,"Mission",9
"1826","1555 MARIPOSA ST",1939,"Potrero Hill",10
"1827","512 2ND ST",1909,"Financial District/South Beach",6
"1828","1550 SUTTER ST",1998,"Pacific Heights",2
"1829","2400 14TH AVE",1928,"West of Twin Peaks",7
"1830","312 SUTTER ST",1909,"Financial District/South Beach",3
"1831","447 SUTTER ST",1916,"Financial District/South Beach",3
"1832","1730 O'Farrell ST",NA,"Western Addition",5
"1833","1133 POST ST",1917,"Tenderloin",3
"1834","275 10TH ST",2009,"South of Market",6
"1835","1001 POWELL ST",1906,"Nob Hill",3
"1836","950 Mason St",1962,"Nob Hill",3
"1837","58 FEDERAL ST",1912,"Financial District/South Beach",6
"1838","1090 SANSOME ST",1908,"Financial District/South Beach",3
"1839","53 COLUMBUS AVE",NA,"Chinatown",3
"1840","301 PACIFIC AVE",1907,"Chinatown",3
"1841","48 2ND ST",1907,"Financial District/South Beach",6
"1842","701 Portola Dr",2013,"West of Twin Peaks",7
"1843","822 PACIFIC AVE",NA,"Chinatown",3
"1844","428 3RD ST",1917,"South of Market",6
"1845","101 POST ST",1969,"Financial District/South Beach",3
"1846","271 9TH ST",1917,"South of Market",6
"1847","655 FOLSOM ST",1910,"Financial District/South Beach",6
"1848","401 Terry A Francois Blvd",NA,"Mission Bay",6
"1849","1007 TARAVAL ST",1931,"Sunset/Parkside",4
"1850","1501 FILBERT ST",2014,"Marina",2
"1851","1100 OCEAN AVE",NA,"West of Twin Peaks",7
"1852","134 GOLDEN GATE AVE",1917,"Tenderloin",5
"1853","378 18TH AVE",1929,"Outer Richmond",1
"1854","1000 3RD ST",NA,"Mission Bay",6
"1855","365 MAIN ST",0,"Financial District/South Beach",6
"1856","1870 SACRAMENTO ST",1906,"Pacific Heights",2
"1857","3225 26TH ST",1987,"Mission",9
"1858","245 WINSTON DR",1952,"Lakeshore",7
"1859","2300 California St",1962,"Pacific Heights",2
"1860","100 1ST ST",1988,"Financial District/South Beach",6
"1861","820 McAllister St",1974,"Western Addition",5
"1862","244 CALIFORNIA ST",1908,"Financial District/South Beach",3
"1863","3830 CALIFORNIA ST",1973,"Presidio Heights",2
"1864","501 GEARY ST",1907,"Tenderloin",5
"1865","345 ARBALLO DR",1942,"Lakeshore",7
"1866","731 MARKET ST",1908,"Financial District/South Beach",6
"1867","3251 20TH AVE",1988,"Lakeshore",7
"1868","150 LOMBARD ST",1975,"Financial District/South Beach",3
"1869","201 GOLDEN GATE AVE",1920,"Tenderloin",5
"1870","222 KEARNY ST",1987,"Financial District/South Beach",3
"1871","725 GRANT AVE",1907,"Chinatown",3
"1872","755 MASON ST",1908,"Nob Hill",3
"1873","35 PIER",1900,"North Beach",3
"1874","1620 LAGUNA ST",1975,"Japantown",5
"1875","735 BATTERY ST",1982,"Financial District/South Beach",3
"1876","589 HOWARD ST",1907,"Financial District/South Beach",6
"1877","1000 SUTTER ST",1908,"Nob Hill",3
"1878","401 BAY ST",NA,"North Beach",3
"1879","1817 CALIFORNIA ST",1960,"Western Addition",2
"1880","191 EDDY ST",1910,"Tenderloin",5
"1881","207 POWELL ST",1906,"Tenderloin",3
"1882","660 BUSH ST",1910,"Nob Hill",3
"1883","285 GEARY ST",1907,"Financial District/South Beach",3
"1884","1624 EDDY ST",1900,"Western Addition",5
"1885","80 Pier- M&R Bldg",0,"Bayview Hunters Point",10
"1886","4201 18TH ST",1954,"Castro/Upper Market",8
"1887","409 ILLINOIS ST",2008,"Mission Bay",6
"1888","433 POWELL ST",1914,"Nob Hill",3
"1889","560 MARKET ST",1907,"Financial District/South Beach",3
"1890","1 De Haro St",NA,"Mission Bay",6
"1891","40 Harbor Rd",NA,"Bayview Hunters Point",10
"1892","88 KEARNY ST",1986,"Financial District/South Beach",3
"1893","225 Fremont St",NA,"Financial District/South Beach",6
"1894","170 Pacific Ave",1986,"Financial District/South Beach",3
"1895","2940 16TH ST",1914,"Mission",9
"1896","2500 ARELIOUS WALKER DR",NA,"Bayview Hunters Point",10
"1897","717 MARKET ST",1908,"Financial District/South Beach",6
"1898","75 HAWTHORNE ST",1987,"Financial District/South Beach",6
"1899","835 MARKET STREET",0,"South of Market",6
"1900","2225 MCKINNON AVE",1976,"Bayview Hunters Point",10
"1901","370 TOWNSEND ST",1923,"South of Market",6
"1902","1 JONES ST",1907,"Tenderloin",5
"1903","302 EDDY ST",1983,"Tenderloin",5
"1904","725 CESAR CHAVEZ ST",1962,"Bayview Hunters Point",10
"1905","200-202 POTRERO AVE",1928,"Mission",9
"1906","850 LA PLAYA",1971,"Outer Richmond",1
"1907","555 HOWARD ST",1911,"Financial District/South Beach",6
"1908","15 MARINA BLVD",1959,"Marina",2
"1909","925 Toland St",1948,"Bayview Hunters Point",10
"1910","300 BROADWAY",1921,"North Beach",3
"1911","71 STEVENSON ST",1986,"Financial District/South Beach",6
"1912","150 VALENCIA ST",1912,"Mission",8
"1913","655 PACIFIC AVE",1950,"Chinatown",3
"1914","144 EDDY ST",1907,"Tenderloin",5
"1915","177 POST ST",1908,"Financial District/South Beach",3
"1916","481 JESSIE ST",1907,"South of Market",6
"1917","34 ELLIS ST",1907,"Financial District/South Beach",3
"1918","8 10th st",NA,"South of Market",6
"1919","1 Warriors Way",NA,"Mission Bay",6
"1920","2151 VAN NESS AVE",1900,"Pacific Heights",2
"1921","333 OFARRELL ST",0,"Tenderloin",5
"1922","235 BAY SHORE BLVD",1927,"Bayview Hunters Point",10
"1923","2200 JERROLD AVE",1987,"Bayview Hunters Point",10
"1924","2175 HARRISON ST",1924,"Mission",9
"1925","100 POTRERO AVE",1910,"Mission",9
"1926","100 NORTH POINT ST",1969,"North Beach",3
"1927","604 Mission St",1906,"Financial District/South Beach",6
"1928","465 GRANT AVE",1922,"Financial District/South Beach",3
"1929","1250 COLUMBUS AVE",1984,"North Beach",3
"1930","5300 3RD STREET",2000,"Bayview Hunters Point",10
"1931","606 FOLSOM ST",1900,"Financial District/South Beach",6
"1932","560 BRANNAN ST",1929,"South of Market",6
"1933","840 FOLSOM ST",1923,"South of Market",6
"1934","394 PACIFIC AVE",1907,"Financial District/South Beach",3
"1935","999 GREEN ST",1964,"Nob Hill",3
"1936","1820 POST ST",1978,"Japantown",5
"1937","1401 STOCKTON ST",1900,"Chinatown",3
"1938","1 CHURCH ST",2002,"Hayes Valley",8
"1939","375 BUSH ST",1908,"Financial District/South Beach",3
"1940","500 SANSOME ST",1929,"Chinatown",3
"1941","2000 OAKDALE AVE",1962,"Bayview Hunters Point",10
"1942","450 POST ST",1924,"Nob Hill",3
"1943","631 HOWARD ST",1929,"Financial District/South Beach",6
"1944","2770 TAYLOR ST",1966,"North Beach",3
"1945","20 BEATRICE LN",1978,"Bayview Hunters Point",10
"1946","375 SUTTER ST",1907,"Financial District/South Beach",3
"1947","445 GRANT AVE",1985,"Financial District/South Beach",3
"1948","353 BAY SHORE BLVD",1994,"Bayview Hunters Point",10
"1949","111 SUTTER ST",1926,"Financial District/South Beach",3
"1950","2001 UNION ST",1970,"Marina",2
"1951","2270 FOLSOM ST",1900,"Mission",9
"1952","500 BATTERY ST",1965,"Financial District/South Beach",3
"1953","2655 VAN NESS AVE",2008,"Marina",2
"1954","55 STOCKTON ST",1989,"Financial District/South Beach",3
"1955","1575 BURKE AVE",1981,"Bayview Hunters Point",10
"1956","1240 EGBERT AVE",1987,"Bayview Hunters Point",10
"1957","635 SUTTER ST",1911,"Nob Hill",3
"1958","700 MONTGOMERY ST",1900,"Chinatown",3
"1959","340 BRYANT ST",1932,"Financial District/South Beach",6
"1960","801 BUSH ST",1916,"Nob Hill",3
"1961","855 FOLSOM ST",2001,"South of Market",6
"1962","3630 BALBOA ST",1925,"Outer Richmond",1
"1963","200 Buchanan Street",2016,"Hayes Valley",8
"1964","586 BUSH ST",1908,"Financial District/South Beach",3
"1965","200 KANSAS ST",1983,"Mission Bay",6
"1966","35 STANFORD ST",1927,"Financial District/South Beach",6
"1967","540 POWELL ST",1909,"Financial District/South Beach",3
"1968","553 PACIFIC AVE",1907,"Chinatown",3
"1969","815 TENNESSEE ST",2017,"Potrero Hill",10
"1970","1596 HOWARD ST",1926,"Mission",6
"1971","909 HYDE ST",1926,"Nob Hill",3
"1972","9 Berkeley Way",1968,"Glen Park",8
"1973","855 HARRISON ST.",1955,"South of Market",6
"1974","2040 FRANKLIN ST",1966,"Pacific Heights",2
"1975","149 NEW MONTGOMERY ST",1907,"Financial District/South Beach",6
"1976","501 BEALE ST",2006,"Financial District/South Beach",6
"1977","800 CESAR CHAVEZ ST",1953,"Bayview Hunters Point",10
"1978","445 GEARY ST",1922,"Tenderloin",3
"1979","775 POST ST",1913,"Tenderloin",3
"1980","1401 YOSEMITE AVE",1962,"Bayview Hunters Point",10
"1981","1850 Kearny ST",1906,"North Beach",3
"1982","2224 UNION ST",1904,"Marina",2
"1983","1745 MARKET ST",1909,"Mission",6
"1984","1701 FILLMORE ST",1985,"Japantown",5
"1985","1245 SOUTH VAN NESS AVE",1959,"Mission",9
"1986","1150 03RD ST",2020,"Mission Bay",6
"1987","625 PINE ST",1950,"Financial District/South Beach",3
"1988","2700 19TH ST",1908,"Mission",9
"1989","603 BATTERY ST",1907,"Chinatown",3
"1990","2750 VAN NESS AVE",1977,"Russian Hill",3
"1991","77 GEARY ST",1929,"Financial District/South Beach",3
"1992","40 LAFAYETTE ST",1934,"Mission",6
"1993","1221 JONES ST",1971,"Nob Hill",3
"1994","644 Geary St",1989,"Tenderloin",3
"1995","701 MONTGOMERY ST",1911,"Chinatown",3
"1996","1201 Funston Ave",1958,"Inner Sunset",7
"1997","163 EDDY ST",1911,"Tenderloin",5
"1998","381 BUSH ST",1907,"Financial District/South Beach",3
"1999","80 6TH ST",1912,"South of Market",6
"2000","507 CLEMENT ST",1910,"Inner Richmond",1
"2001","250 SUTTER ST",1909,"Financial District/South Beach",3
"2002","444 BRYANT ST",1923,"Financial District/South Beach",6
"2003","136 MCALLISTER ST",1910,"Tenderloin",5
"2004","616 GRANT AVE",1900,"Chinatown",3
"2005","845 JACKSON ST",1924,"Chinatown",3
"2006","48 PIER - SHED A",1900,"Mission Bay",6
"2007","300 KANSAS ST",1937,"Mission Bay",10
"2008","345 W PORTAL AVE",1966,"West of Twin Peaks",7
"2009","401 3RD ST",1997,"Financial District/South Beach",6
"2010","169 11TH ST",1923,"South of Market",6
"2011","1300 4TH ST",NA,"Mission Bay",6
"2012","565 COMMERCIAL ST",1985,"Chinatown",3
"2013","38 DOLORES ST",2014,"Castro/Upper Market",8
"2014","1177 CALIFORNIA ST",1978,"Nob Hill",3
"2015","250 5TH ST",NA,"South of Market",6
"2016","3801 3RD ST",1903,"Bayview Hunters Point",10
"2017","375 BEALE ST",2002,"Financial District/South Beach",6
"2018","1980 WASHINGTON ST",1923,"Pacific Heights",2
"2019","345 Brannan St",2016,"Financial District/South Beach",6
"2020","750-756 STANYAN ST",1907,"Haight Ashbury",8
"2021","1275 MARKET ST.",1976,"South of Market",6
"2022","246 1ST ST",1900,"Financial District/South Beach",6
"2023","650 7TH ST",1908,"South of Market",6
"2024","350 TOWNSEND ST",1906,"South of Market",6
"2025","501 ALABAMA ST",1936,"Mission",9
