Street Address	Business Start Date	Location Start Date	DBA Name
393 Eddy St St	2018-02-05	2018-02-28	Aladdin Bakery & Grill
1720 Polk St	2019-04-15	2021-12-17	1720 Polk - Commercial Building
3226 Mission St	2016-09-29	2016-09-29	Mi Lindo Peru
1581 Webster St 145	2016-12-29	2016-12-29	Beque
1524 Irving St	2017-10-20	2017-10-20	Goeman
17451 Highway 120	2018-01-04	2018-01-04	Miners Mart
135 Pecks Ln	2019-08-20	2019-08-20	Los Kuyas Catering
1700 Owens St	2017-02-27	2017-02-27	Poke Life
3848 Judah St Bldg	2019-07-05	2019-07-05	Big Belly Deli
1910 Fillmore St	2017-04-19	2018-07-01	Samovar
1816 Irving St	2019-11-07	2019-11-07	Pho Phu Quoc
1609 Powell St Bldg	2018-11-01	2018-11-01	Barrio
1221 Fell St	2019-04-22	2019-04-22	Hahdough
50 Fremont St Fl 20/33	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
46 Seward St	2016-04-12	2016-04-12	Joe's Pickles
983 Valencia St	2016-09-01	2016-09-01	Motze
3251 20th Ave Ste 156	2018-02-06	2019-05-01	Honey Bar
705 Virginia St	2018-05-14	2018-05-14	Laguna Garden Bakery
2028 Taraval St 5	2018-02-07	2018-02-07	Cafe El Mecato
312 Swift Ave	2019-04-01	2022-09-01	Hookt Doughnuts LLC
3600 Taraval St	2018-06-02	2018-06-02	Underdogs To
99 Yerba Buena Ln	2017-01-26	2017-01-26	Beard Papa's
239 Kearny St	2018-11-19	2019-10-30	Nightingale
2591 San Bruno Ave	2018-02-02	2018-08-01	Hi Tea
431 Bush St	2020-01-01	2020-01-01	Akiko's Restaurant
100 Drumm St	2019-08-07	2019-08-07	Red's House
1 Mobile Caterers	2017-08-30	2019-09-10	A & S Food Services Inc
580 Geary St	2016-03-22	2016-03-22	Pineapple Bistro & Bar
2650 Ulloa St	2016-11-30	2016-11-30	Gail Neer Events
3452 Mission St	2017-03-02	2017-04-01	Mandarin House SF
3915 24th Street	2018-02-20	2018-02-20	Famus
1 Ferry Building	2019-08-26	2019-08-26	Snack15 LLC
7000 Geary Blvd	2018-01-01	2018-01-01	Pacific Cafe
1740 Cesar Chavez Street Unit 2w	2019-06-26	2019-07-03	Fork & Ladle
900 22nd St	2019-10-21	2023-11-01	Coffeeshop
510 Mission St	2017-09-29	2024-05-01	Japanese House
1816 Irving St	2019-11-07	2019-11-07	Ppq Beef Noodle House
885 Brannan St	2017-10-06	2018-06-01	Pizza Squared
657 Morse St	2018-08-06	2018-08-06	Bf Cakes And Sweets
2782 24th St 2782	2018-10-01	2018-10-01	Bri's Creations
1501 Sloat Blvd Ste A	2019-01-01	2019-01-01	Ono Hawaiian Bbq
888 Stockton St	2018-09-20	2018-09-20	Cafe New Honolulu
2325 Pine St	2018-12-10	2018-12-10	Loving Cup Octavia
1240 Noriega St	2019-04-03	2022-09-29	Sohomei
2949 S 18th S St Apt 201	2019-07-30	2019-07-30	Tacos Santo Toribio
1155 Leavenworth St Apt 22	2018-08-20	2018-08-20	Abrazo
35 Edgar Pl	2019-01-02	2019-01-02	Postmates
1252 Valencia St	2018-02-22	2018-02-22	Cafe Valencia
584 Bella Vista Way	2019-08-01	2019-08-01	Boris Volpe
3440 Balboa Ave	2018-07-11	2018-07-11	Cielito Lindo Restaurant
700 Columbus Ave	2016-02-09	2016-04-15	Bodega
709 O'farrell St	2016-08-31	2018-04-01	Cochinita
400 California St	2016-05-31	2016-06-01	Halal Cart SF
38 Teddy Ave	2019-03-19	2019-03-19	Twirl And Dip
297 Skyline Drive	2018-10-01	2018-10-01	Zening's Kitchen
475 Sixth St	2019-01-07	2019-01-07	Urban Express Kitchens LLC
1450 Mission St	2019-01-10	2019-07-01	Lerso
2200 Hayes St	2019-02-26	2019-02-26	Nancy's Catering
33 8th St Apt 1710	2017-10-26	2017-10-26	Gan Xiang Yu LLC
201 9th St	2019-01-01	2019-01-01	Asia SF
1044 Capp St	2018-03-14	2018-03-14	Umo Bbq, LLC
1355 Willard St Apt 4	2016-10-26	2016-10-26	The Realness LLC
198 Valenica St	2016-01-26	2022-09-07	Kuma On Valencia
24778 Eden Ave	2018-09-19	2018-09-19	Marley's Streats
1760 Cesar Chavez St Unit L	2017-07-01	2017-07-12	Donfeva
1365 Stockton St	2016-02-09	2016-02-09	Pho Delicious
1581 Webster St Ste 105	2019-02-15	2019-02-15	Suzu SF
3518 Judah St	2016-02-17	2016-02-17	Doordash
3251 20th Ave Ste 5523	2017-03-01	2018-07-20	Yifang Taiwan Fruit Tea
1 Front Street	2017-03-06	2017-03-06	Front Door Cafe
435 Brannan Street	2018-02-20	2018-02-20	Z Coffee & Tea LLC
55 2nd St	2019-04-22	2019-04-22	Bluestone Lane
103 Horne Ave	2017-01-04	2017-01-04	Sunset29 Bbq
10 Yates Ave Unit 10	2018-12-12	2018-12-12	Rozkaaffaire
380 Bush St Ste 4	2019-04-15	2022-04-19	Seoul Bunsik
2143 Taylor St	2018-01-23	2018-01-23	Wooly Pig
2761 Mission St	2019-04-05	2019-04-05	Boba Bao Bai
3251 20th Ave Op184	2017-09-13	2017-09-13	Marugame Udon
1366 Turk St. Apt 7c	2018-01-01	2018-01-01	Chottomotto
2565 Third St # 308	2019-10-15	2024-07-01	Tre Rosso Lp
428 11th St	2020-01-01	2022-07-12	Mozzeria (Food Truck Mobile)
1355 Market St 100	2019-03-01	2019-03-04	Heroic Deli SF
2948 Folsom St	2019-11-26	2019-11-26	Kinship Foods
2 Prospect Ave	2019-12-01	2019-12-01	Together SF
108 Bertha Ln	2018-07-16	2018-07-16	Fresh Squeeze Of Life
380 Bush St	2017-01-03	2017-01-03	Pushkin
2140 166th Ave	2017-10-02	2017-10-02	Caviat Courier
542 Alemany Blvd	2018-03-31	2018-03-31	Terrence Ridge
613 E York N St Bldg	2016-09-29	2021-12-07	Aedan Koji Cafe
35 Kearny St	2019-07-09	2019-07-09	Flybird
125 Ellis St	2018-09-12	2019-01-29	Zorokuyuzan
826 Van Ness Ave	2018-06-05	2018-06-05	Van Ness Cafe & Gyros
2744 Sacramento St Apt 301	2019-04-29	2019-04-29	Hungry Human
1565 Sunnydale Ave Ave	2018-09-06	2018-09-06	Big Ree Kitchen.
315 S Maple Ave Ste 104	2016-05-16	2016-07-30	King Knish
28 Trinity Pl	2018-10-11	2018-10-11	Out The Dough, LLC
2859 Mission St	2016-08-08	2016-08-08	Bob's Falafel & Shawarma
2455 3rd St	2017-01-01	2017-01-01	Perfusion Vineyard
83 Mcallister St Unit 406	2017-07-01	2017-07-01	Carlos Martinez (Food Deliverer)/ Yukiko Abe (Pet Sitter/Dog Walker)
201 Spear St 120	2018-11-09	2018-11-09	Gozu, Ittoryu Gozu
3277 Sacramento St	2019-12-12	2019-12-12	Presidio Kebab & Gyros
1018 Taraval St	2018-01-02	2018-01-02	Mr. Bread
318 Columbus Ave Apt	2016-06-11	2016-06-11	Surf And Turf, LLC
457 Andover St	2017-07-11	2017-07-11	Pipkins Pitt Bbq
945 Market St	2018-09-11	2023-10-27	Momo Noodle
599 Ofarrell St	2018-01-30	2018-01-30	El Tesoro Taqueria And Grill
50 Post St	2016-09-23	2016-09-23	Esther's German Bakery
46 Ramone Ave	2016-04-20	2016-04-20	Unlawful Waffle
2782 Folsom St 6	2019-02-01	2019-02-01	Sweet Fix SF
939 Clement St	2018-04-09	2018-04-09	Golden Harbor Seafood Restaurant
235 Church St	2019-01-01	2019-01-01	Il Casaro Pizzeria
400 Clement St	2018-10-05	2020-12-01	Saltwater Bakeshop
2241 Chestnut St	2018-08-01	2018-08-01	Eddie's Bar Car
177 Townsend St	2019-09-18	2019-09-18	Home Plate
1851 Noriega St	2019-04-30	2019-04-30	Metropolitan Catering
103 Horne Ave	2018-03-14	2018-03-14	Umo Bbq, LLC
1 San Francisco International Airport, Boarding Area Fl 3	2016-12-19	2016-12-20	Joe & The Juice
50 Fremont St Fl 5/6	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
2434 Mission Street	2017-09-27	2017-09-27	Lotus SF
475 Sixth St	2019-04-22	2019-04-22	The Star By Little Star Pizza
1901 Ocean Ave	2018-03-15	2018-03-15	The Fog Lifter Cafe
92 Judah St	2018-11-15	2018-11-15	Pomelo On Judah
1354 Harrison St	2017-01-02	2017-01-02	Lone Star Saloon
400 Waller St	2019-06-07	2019-06-07	Thep Restaurant
1 Embarcadero Ctr	2017-02-27	2017-02-27	Gambinos Deli Inc
90 Charter Oak Ave Unit K11	2018-06-28	2022-01-07	Mendocino Farms Vk
2 Folsom St	2017-06-22	2018-09-25	Kikka At Gap
1303 Utah St	2016-11-17	2016-11-17	Utah Jacks
525 Valencia St	2017-02-01	2017-02-01	Brown Sugar Factory
168 Langton St Apt A	2019-01-26	2019-01-26	Suspiros Inspired
420 Judah St	2019-08-01	2019-08-01	Sapporo Ramen Izakaya
46 Lippard Ave	2016-02-15	2016-02-15	K&D Catering Works, LLC
2142 Irving St	2018-06-20	2018-06-20	On Dog Dog LLC
230 Farallones St	2018-06-06	2018-06-06	Princess Pies Co. LLC
145 Jefferson St Ste 400	2018-06-10	2018-09-15	Lefty's Ballpark Buffet
479 Ellis St	2020-01-01	2020-05-18	The Roost
420 Geary St	2019-04-01	2019-04-01	The Thonglor
555 California St Cncourse	2018-01-01	2018-01-01	Poke Bar
3501 Mission St	2017-09-01	2017-09-01	Tilak Indian Cuisine
3380 19th St	2019-04-29	2019-04-29	Kimbara
1815 Market St #5	2017-08-30	2017-08-30	Sushi Zone
636 Fell St	2017-08-15	2017-08-15	Your Community S&P
1 Ferry Building Ste Na50	2018-06-01	2022-10-18	Peaches Patties
1949 Green St Apt 1	2019-04-06	2019-04-06	Natalies Ice Cream
3131 Lincoln Way	2019-10-07	2019-10-07	Yum.Bao
612 El Camino Real	2017-02-09	2017-02-09	Ella's Cafe
111 Marlin Ct	2018-10-17	2018-10-17	Yes Pudding
1380 9th Ave	2018-11-13	2018-11-13	Zhuo Kitchen
420 Judah St	2019-12-09	2019-12-09	Muji
466 Haight	2017-04-25	2018-04-24	Nickies Irish Pub
1983 Mcallister St	2019-10-14	2019-10-14	Haute Sauce Foods
2782 24th St	2018-10-01	2018-10-01	Bri's Creations
2815 California St	2017-06-01	2017-10-22	Tea Hub
1750 Cesar Chavez St	2019-06-26	2021-08-06	Light Speed
1760 Cesar Chavez St Unit L	2018-01-01	2018-01-01	Fuddhism
Mason St	2017-09-21	2017-09-21	Altovino
388 Market St Ste 106	2019-01-01	2019-01-01	Miss Tomato Sandwich Shop
1404 Taraval St	2019-05-01	2019-05-01	Grubbin'
1318 18th St	2016-10-31	2016-11-03	Blooms Saloon
2238 Polk St	2018-10-19	2018-10-29	Fiorella Polk
88 Ignacio Ave	2019-09-09	2019-09-09	Sam's Gourmet Foods
2123 Irving St	2016-04-05	2021-03-01	Bangkok House Thai Noodles
433 Kearny St	2017-09-21	2017-09-21	Coffee Bar
1699 Van Ness Ave	2018-06-01	2024-06-10	Real Sf Property
350 Mission St Fl 26/27	2017-12-27	2019-03-14	Aramark Rfs
4092 18th St	2018-11-19	2021-09-27	Wicked 6 Bar And  Bites
1477 Van Ness Ave	2019-01-07	2019-01-07	Dolce Amore
239 Clement St	2017-04-26	2017-04-26	Pho Huynh Sang
420 Judah St	2017-08-01	2017-08-01	Sapporo Ramen Izakaya
308 Columbus Ave	2017-02-17	2017-02-17	Taqueria Zorro
50 Post St	2018-03-22	2018-10-03	The Fruit Tree
630 Sansome St Ste 131	2018-11-08	2018-11-09	The Spot
756 Grant Ave	2017-12-08	2019-10-18	Matcha Cafe Maiko
412 Jones	2017-08-01	2017-08-01	Le Chocophile
Avenue N Treasure Island	2018-06-01	2024-02-05	Peaches Patties LLC
995 Ellis St	2019-06-19	2019-06-19	Gkp Market
901 Clement St	2020-01-01	2020-01-01	All Stars Donuts
370 Grove Street	2017-12-01	2017-12-01	Phonobar
250 Hyde St	2018-10-12	2022-06-14	Suragan
2351 Mission St	2019-06-26	2019-08-19	Vessel Ca Operations
198 Valencia St	2016-01-26	2022-08-15	Kuma On Valencia
207 E 24th St Apt 103	2016-09-16	2023-06-01	Perla Cedillo
430 Folsom St	2020-01-01	2022-10-19	Akiko's
1814 Judah St	2019-03-06	2019-03-06	Shoobie Doobee Eats
1421 44th Ave	2019-10-31	2019-10-31	Kingbob
101 Horne Ave	2018-12-03	2021-03-01	Gumbo Social
1398 Haight St	2017-09-06	2019-04-04	New Belgium Brewing
155 Fourth St	2019-02-22	2019-02-22	Tsuta Ramen
1266 Chestnut St Apt 1	2016-03-01	2016-03-01	Mimitreats
990 Geary St Apt 108	2016-08-29	2016-08-29	San Francisco
1214 Polk St #315	2017-05-02	2017-05-02	Pop Ups Unlimited
314 Perkins St Apt 305	2017-06-02	2017-06-02	Moac
48 Parsons St	2017-09-01	2017-10-02	Confection Connection
800 Van Ness Ave	2017-12-21	2018-01-30	Creative Sushi Catering
661 San Jose Ave	2017-11-09	2017-11-09	September
3251 20th Ave	2019-04-02	2020-01-20	Avast Bakeshop
20065 Stevens Creek Blvd C1	2017-08-08	2017-09-08	Oriental Taste Noodles
599 3rd St	2019-04-22	2019-04-22	Golden Goat Coffee
Market St	2018-04-01	2018-04-03	Burger Meister
710 Polk St	2017-08-24	2017-08-24	Thai Idea Vegetarian
41 Thomas Ave 9	2019-03-22	2019-03-22	Mangolote
1911 29th Ave	2019-07-31	2019-07-31	Miller Lane LLC
2948 Folsom St	2017-11-01	2017-11-01	Itzae
4100 Third St	2019-08-01	2019-08-01	Sunday Gather
851 Beach St	2017-05-09	2018-02-08	San Francisco Brewing Co - Restaurant
139 S Lake Merced Hls Unit 1c	2019-08-23	2019-08-23	Sweet Mango Dessert & Cafe
3420 Balboa St	2017-02-27	2017-02-27	Jiangnan Cuisine
2782 24th St	2018-10-01	2018-10-01	Bris's Creations
2201 Fillmore St	2016-11-29	2016-11-29	Salt & Straw - Fillmore
41460 Christy Street	2017-12-27	2017-12-27	Aramark Refreshment Services
426 Larkin St	2017-05-01	2017-05-01	Hello Sandwich & Noodle
474 Wyandotte Ave	2017-07-05	2017-07-05	Cafe Taboo
3120 S Ridge Point Dr	2018-04-01	2018-04-01	The Grubbies
2049 Fillmore St	2019-11-19	2019-11-19	The Tailor's Son
56 Belden Pl	2017-02-28	2021-11-22	Vida Cantina
200 Buchanan St Apt 321	2016-09-02	2016-09-02	Alchemy Waffles
244 Clement St	2019-07-15	2021-03-19	Delightful Foods
1605 Jerrold St	2018-04-01	2018-04-26	Bayview Beans
1750 Caesar Chavez St D	2017-07-18	2018-07-19	Noratha
2216 Colfax Way	2017-07-02	2017-07-02	Tiona Hearns
2565 Third St Ste 202	2019-09-10	2020-10-27	Mainstay Markets
100 Cotter St	2017-05-01	2017-05-01	Xiao Xiao Buns
98 Thrift St	2018-04-04	2018-04-04	Scramble
100 Miraloma Drive	2016-06-13	2016-06-13	Bay Bay Bing
380 Bush St	2016-06-08	2017-02-01	Pushkin
1360 9th Ave	2018-12-21	2019-01-29	Sunset Shabu Bistro
1999 Broadway 22	2017-11-15	2017-11-15	Brigadeirosprinkles
647 Valencia	2018-12-17	2019-01-03	The Valencia Room
493 Pine St	2017-12-06	2018-03-02	Udon Underground
2124 Union	2019-04-19	2022-08-01	Mishka
803 Cortland Ave	2019-11-20	2019-11-20	Seafood Station
2200 Bryant St	2018-03-29	2018-12-28	Pho At Bryant
917 Folsom St	2017-10-30	2017-11-01	The Pine Tar Grill And Bar
1063 Market St	2017-12-06	2018-05-21	Chanvi
6050 Geary Blvd	2018-12-10	2018-12-10	Bambu
161 Saint Charles Ave	2019-11-21	2019-11-21	Sukulentasf
1395 10th Ave	2018-08-10	2018-08-10	Mcallister Restaurant
1210 Polk E St	2019-08-27	2019-08-27	Pizzalicious LLC
1069 Texas St	2017-06-01	2017-06-01	Butter&
1501 Cortland Ave	2017-09-22	2017-09-22	Herb'n Vegan
1217 Sutter St	2016-08-08	2016-08-08	Rusted Mule
199 Montgomery St, Suite A-D St	2017-08-20	2017-08-20	6 Degrees Cafe LLC
2327 Mission St	2016-08-26	2023-06-09	Cha Cha Cha
2000 Ellis Street Apt 203	2016-03-08	2016-03-08	Tiqld
4653 Mission St	2018-02-13	2018-02-13	Mission Drip Cafe
20065 Stevens Creek Blvd C1	2017-08-08	2017-09-08	Oriental Taste Hot Pot
Mission Bay St	2018-05-09	2018-05-09	Little Creatures Brewing Company   Little Creatures Brew Pub
215 Church St	2018-12-15	2019-03-22	Cook Shoppe
200 Van Ness Ave	2016-01-22	2020-07-30	Bowes Center Cafe
415 Brannan St	2019-03-14	2019-03-14	Sun And Moon
601 Mission Bay N Blvd	2019-07-08	2021-07-01	De La Calle
1 Market St 8se/8sw	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
389 Riesling Ct	2016-09-27	2016-09-27	The Pub
103 Horn Ave	2017-01-13	2018-08-01	Yosoyceviche
425 A Hayes St	2017-12-11	2018-01-01	Papi's SF
601 Grant Ave	2018-04-25	2018-04-25	601 Dupont
1123 Folsom St	2017-02-01	2017-05-09	Trademark & Copyright
733 Greenwich St	2017-08-11	2021-05-24	Obour Foods, LLC
590 Van Ness Ave	2017-10-11	2017-10-11	Rangoon Ruby Burmese Cuisine
120 Montgomery St	2016-09-26	2017-05-12	Iku
1 United Nations Plaza	2018-01-30	2019-02-06	Roti
95 Broadway	2019-01-02	2019-01-02	Food,Parking
3319 Mission St	2019-01-16	2019-01-16	Ramen Coco LLC
1117 Ocean Ave Unit 101	2019-08-27	2019-08-27	Umai Savory Hot Dogs #108
1750 Cesar Chavez St Ste D	2016-04-01	2016-11-01	Barzotto Catering
2331 Mission St	2017-05-01	2017-07-25	Barrel Proof
629 San Mateo Ave	2019-09-06	2019-09-06	Sam Choy's Poke To The Max
1739 Cabrillo St Apt 2	2019-11-23	2019-11-23	Postmates
647 Valencia St	2018-12-13	2018-12-13	Third Space LLC
790 Valencia St	2019-03-11	2019-03-11	Project Juice - Valencia
1750 Cesar Chavez St D	2017-07-18	2018-07-19	Mermaid Poke
2244 Taraval St	2019-05-06	2019-05-06	Pirro's Pizzeria
6050 Geary Blvd Ste 101	2019-11-06	2019-11-06	Bambu
26754 Contessa St	2018-01-23	2018-01-23	Wezy
1600 Bryant St 410029	2019-01-01	2019-01-01	Emilio Casal
2250 Keith St	2017-02-01	2017-02-01	Craftsman And Wolves Workshop
648 Pacific St	2016-03-01	2016-03-01	Yin Du Wonton Noodle LLC
103 Horn Ave	2017-01-05	2019-12-02	Goldie's Oakwood Bbq
4516 Mission St	2016-04-28	2016-04-28	Hwaro
15 Wood Lane Ln	2017-09-12	2017-09-12	A Fork Full Of Earth Organic Catering
1661 Tennessee St 30	2019-05-01	2019-05-01	Jackrabbit Kitchen
646 Corbett Ave Apt 209	2019-08-01	2020-03-21	Sheet Music Bakery
827 Sacramento St	2017-01-27	2017-01-27	Steap Tea Bar
1288 Columbus Ave	2018-06-01	2018-06-01	Deck The Halls
1863 21st Ave Ste B	2016-04-20	2016-04-20	Sammy's420paletas
47 W 27th St, 8th Floor	2016-06-27	2016-06-27	Mealpal
509 Laguna St	2019-04-22	2019-12-28	Hahdough
1353 Taraval St	2019-08-30	2019-08-30	Stix
1835 Mcallister St	2017-07-01	2017-07-01	En Guete Services LLC
1476 Haight St	2018-02-20	2018-02-20	Bing & Boba
2215 Market St R-125	2017-07-13	2017-07-13	Dolores Park
4238 18th St	2017-10-01	2017-10-01	Naan-N-Curry
15 Josiah Ave	2016-03-01	2024-07-24	Morty's Delicatessen
135 4th St #Fc6	2016-09-16	2016-09-16	Fresca Gardens Inc
1750 Cesar Chavez Ste D	2016-10-01	2018-01-31	Zee Cooks / Creperie Saint Germain
3881 21st St	2017-12-01	2017-12-01	Chocolates By Mitchell
1401 Powell St	2019-10-16	2019-10-24	Enter The Cafe
928 Geary St	2019-10-29	2019-10-29	Irving Pizza
2948 Folsom St	2017-05-09	2017-05-09	Origen
3201 20th Ave	2018-02-28	2018-02-28	La Spot
52 Belden Aly	2017-02-28	2017-02-28	Toy Soldier
5 Embarcadero Ct	2016-09-26	2019-12-19	Iku Sushi
392 Miriam Sreet	2016-06-29	2016-06-29	Postmates
900 N Point St J101	2018-08-08	2018-08-08	Pico Latin Street Food
532 Columbus Ave	2017-03-01	2018-09-11	Caffe Di Bar Sorelle
899 Hyde St	2016-08-23	2016-09-09	Crostini And Java
103 Horne Ave	2019-03-18	2019-03-18	Ron's Pit Stop Bbq
2394 45th Ave	2018-02-13	2018-02-13	Breadbelly
5821 Geary Blvd	2019-01-31	2022-10-28	Ppq Dungeness Island
3440 25th St Apt 701	2019-03-01	2019-03-01	Kismet Kitchen
103 Horn Ave	2016-08-18	2017-09-20	Tea Promenade
301 Howard St Ste 600	2016-04-15	2018-11-12	Fare Resources Inc.
2142 Irving St	2017-12-18	2017-12-18	Ondog Inc
242 244 Gough St	2016-12-01	2017-04-07	Planet Cafe
1226 9th Ave	2018-05-15	2018-06-01	Tartine All Day
219 King St	2020-01-01	2020-01-01	Tea Hub
24 Willie Mays Pl Lower Center Field Sec 144	2018-03-09	2018-03-16	95313 C & C Concessions/Main Vending Commissary Room
1240 Noriega St	2019-04-03	2019-12-31	Phobulous
645 Larkin St	2016-10-26	2017-06-21	Young Fava
722 19th Ave	2019-04-29	2019-04-29	Eureka Tortilla LLC
601 Mission Bay N Blvd	2018-09-11	2022-09-22	Momo Noodle
5170 Mission St	2017-03-01	2017-03-01	Boos Voni
117 New Montgomery	2019-05-08	2019-05-08	Super Duper
2317 Chestnut St	2017-03-23	2017-03-23	Mamanoko
1322 Grove St	2016-09-29	2017-05-03	Aedan,LLC
3251 20th Ave	2018-05-17	2022-01-01	Stonestown Farmers Market
393 Bay Street	2019-07-02	2019-07-02	New Thai Elephant
1524 18 Th Ave.	2016-09-09	2016-09-09	Russian Deli Eliseevski
1805 Geary Blvd	2019-07-01	2019-07-01	The Fillmore
3160 Woods Circle Cir	2019-03-22	2019-04-03	Simba's Heirloom Farm
56 Belden Pl	2017-02-28	2023-04-01	Latin Steakhouse
2201 Union St	2018-12-10	2018-12-10	Loving Cup Union
425 Market St Fl 8	2017-02-01	2017-02-01	Postmates Inc
1195 Evans Ave	2018-08-13	2021-03-12	The Vegan Hood Chefs
1196 Folsom St	2019-07-22	2019-07-30	Anton's Pizza & Burgers
1933 Indiana St	2017-03-31	2017-03-31	Up Bay Coffee Pedalers
1620 Post St	2018-07-16	2019-02-26	Daeho Korean Bbq And Beef Soup
103 Horne Ave	2016-07-27	2017-03-31	Karmasous
2036 Lombard St	2019-04-28	2019-04-28	Westwood
50 Fremont St Fl 23/24	2017-12-27	2019-03-21	Aramark Rfs At Salesforce
420 Judah St	2019-06-20	2019-06-20	Sumo
4302 Redwood Hwy Ste 200	2017-06-14	2017-06-14	Subway Sandwiches 6985
680 Clay St	2016-07-01	2018-07-01	Hinodeya Ramen Bar Financial
324 Clement St	2017-07-25	2017-07-25	Tea Fm
5 S Linden Ave Ste 1	2017-03-26	2017-03-26	Dispatch
2432 Polk Street	2019-05-10	2019-05-10	Pralin Bakehouse
543 Columbus Ave	2016-08-15	2016-08-15	Caffe Spuntino
2000 Mckinnon Ave Bldg 428	2017-05-04	2017-05-04	Sun Valley Produce & Trading Inc.
1626 Taraval St	2016-05-13	2016-05-13	Fiery
1700 Fillmore St	2016-05-27	2017-10-19	Hummus Heaven
3245 Geary Blvd Blvd 737	2016-08-01	2016-08-01	Trepalle
900 Bush St Ste C101	2018-02-13	2018-02-13	Izakaya Yoki
4134 Geary Blvd	2017-10-04	2017-10-04	Wasabi Bistro
2240 Taraval St	2018-07-10	2018-07-10	Chalos
660 E Gish Rd	2018-07-01	2018-07-26	Crepe Em Coming
460551	2018-04-05	2018-04-05	Eat Drink & Laugh
20 E 41st Pl Apt E	2017-02-16	2017-02-16	The Game Day Truck
201 Spear St Ste 120	2018-11-09	2018-11-14	Gozu
31 Kearny St	2018-01-17	2018-01-17	Local Cafe
362 Columbus Ave	2017-10-20	2019-03-01	Family Cafe
1325 Fillmore St	2018-04-09	2018-09-09	Isla Vida
460 Bryant St	2019-06-15	2019-06-17	Crafty California, LLC
2415 19th Ave	2019-03-27	2019-03-27	Seniores Pizza
1660 10th Ave	2019-01-01	2021-06-27	Tartwheels
1 Market Plz Spc Pl24	2017-08-25	2017-08-25	Matko
1830 Noriega St	2019-07-11	2019-07-23	First Up
201 Ellis St	2020-01-01	2020-01-01	Siam City Inc
1616 Ocean Ave	2018-12-20	2018-12-20	New Ocean's Market
1324 Fitzgerald Ave Unit C	2019-03-06	2021-05-01	Tamalitos Catering
428 11th St	2019-07-08	2020-07-10	Porkie
420 Judah St	2018-09-05	2018-09-05	Tekka Tekka
701 Columbus Ave	2016-05-18	2016-05-18	Da Flora LLC
302 Randolph St	2019-04-01	2019-04-01	Blue House Cafe SF
1299 Storey Ave	2019-01-01	2019-01-01	Ann Walker Catering, Inc
1226 9th Ave	2019-06-28	2019-06-28	Tartine 9th Avenue
Market Plaza Ave Unit 23	2017-11-27	2017-11-27	Una Mas Mexican Grill
7 Lancaster Cir Apt 247	2019-09-05	2019-09-05	Mama Jack's Kitchen
395 Hayes St	2018-03-23	2018-03-23	Doppio Zero
475 6th St K16	2019-03-11	2019-03-11	The Little Chihuahua Mexican Restaurant
870 Valencia St	2019-03-30	2022-11-01	Echigo Home Cook
2130 Irving Street	2019-04-05	2019-06-17	Irving Seafood Market
1000 Cortland Ave	2016-08-31	2016-08-31	Skillshot Pinball
2 Marina Blvd	2017-10-06	2017-11-30	Choco Kebab San Francisco
1 Daniel Burnham Ct Apt 409	2019-04-16	2019-04-16	Umami Spoon
425 Battery St	2017-09-10	2017-09-10	Subway Sandwiches #61240
1 Mobile Caterers	2019-06-26	2019-09-25	Vessel Operations (#8)
3251 20th Ave	2017-07-04	2020-08-10	David Upchurch Chocolatier
3251 20th Ave	2017-06-22	2021-04-05	Kikka At Whole Foods Stonestown
133 Second St	2019-05-28	2019-05-28	Henry Africa
636 El Camino Real Apt 209b	2017-09-18	2017-09-18	El Sabor
1450 Mission St	2019-01-10	2019-09-18	Lerso
205 Frederick St A	2019-07-08	2020-07-23	Porkie
548 Wisconsin St	2016-05-05	2016-05-05	Mobile Consession
1005 Chester Street	2018-07-14	2018-07-14	Ripen
268 Hillside Blvd	2019-03-18	2019-03-26	Lamas Peruvian Food Truck
3154 Fillmore St	2018-05-01	2018-05-01	Cow Marlowe
2948 Folsom St	2016-08-19	2016-08-19	Mi Morena
100 J F Kennedy Dr	2017-08-30	2024-03-22	Momolicious
799 Battery St	2017-02-02	2019-12-28	Gambinos Deli Inc
2155 Bayshore Blvd	2016-03-03	2016-03-03	Picky Bite
1934 46th Ave	2017-01-19	2017-01-19	Mix And Mac
206 Valencia St	2016-06-09	2016-06-09	Tawla
291 3rd Ave	2019-07-11	2021-05-18	Yogii Rice
433 Precita Ave	2017-07-24	2017-07-24	Doma Sushi Bar
3460 Buckingham Way	2018-02-25	2018-02-25	Portside Bakery
2020 Union Steet	2019-07-11	2019-07-11	Sd Levys Stadium LLC
1252 Valencia St	2017-10-02	2017-10-02	Cafe Valencia
1 Mobile Caterers	2019-01-11	2019-02-04	Mashallah Halal Food Truck
103 Horne Ave	2019-03-16	2019-03-25	Sln Ctrng
410 China Basin St	2018-06-25	2018-06-25	Food Truck Armada, LLC
55 Music Concourse Dr	2019-10-28	2019-10-28	Constellation Culinary Group
532 Columbus Ave	2017-03-01	2017-05-16	Liguria, LLC
191 Pine St	2019-12-06	2019-12-06	Crustacean Restaurant
1400 Jackson St	2018-04-07	2018-04-07	Sun Kwong Resturant
2224 Mission St Bldg	2019-06-21	2019-06-21	Prubechu
